AWAY,HOME,Start Date,Start Time,End Date,End Time,Description,Location,Private,Show time as
CHI , NSH,10/23/2014,8:00:00 PM,10/23/2014,11:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
VAN , STL,10/23/2014,8:00:00 PM,10/23/2014,11:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
CAR , CGY,10/23/2014,9:00:00 PM,10/24/2014,12:00:00 AM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
BUF , LAK,10/23/2014,10:30:00 PM,10/24/2014,1:30:00 AM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
CBJ , SJS,10/23/2014,10:30:00 PM,10/24/2014,1:30:00 AM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
DAL , NJD,10/24/2014,7:00:00 PM,10/24/2014,10:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
TBL , WPG,10/24/2014,8:00:00 PM,10/24/2014,11:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
VAN , COL,10/24/2014,9:00:00 PM,10/25/2014,12:00:00 AM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
CAR , EDM,10/24/2014,9:30:00 PM,10/25/2014,12:30:00 AM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
CBJ , ANA,10/24/2014,10:00:00 PM,10/25/2014,1:00:00 AM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
BUF , SJS,10/25/2014,4:00:00 PM,10/25/2014,7:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
BOS , TOR,10/25/2014,7:00:00 PM,10/25/2014,10:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,CBC,FALSE,FREE
DAL , NYI,10/25/2014,7:00:00 PM,10/25/2014,10:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
